Simplified protein IDs	Gene name	MitoCoP disease association	Functional MitoCoP classification	MitoCoP	MitoCoP identified/ validated	MitoCoP identified	MitoCoP validated	MitoCoP disease gene	References	UniProt: involvement in disease	DisGeNET disease ID (curated associations)	OMIM	Phenotype MIM number	Half-live (HeLa) [h]	Half-life (Hu7) h	tomm40 Importomics	Mean Log2 Ratio tomm40KD/mock	p-Value	Mean mito-copies per cell (≥2/3 Reps)	Mean copy numbers per cell (≥2/3 Reps)	Category	Integral [%]	Membrane-associated [%]
P03905	MT-ND4	Central nervous system;Metabolism;Ophthalmic system;Muscular system;Endocrine system	OXPHOS complex subunits	1				1	"Wallace, D. C., Singh, G., Lott, M. T., Hodge, J. A., Schurr, T. G., Lezza, A. M. S., Elsas, L. J., and Nikoskelainen, E. K. (1988) Mitochondrial DNA mutation associated with Leber's hereditary optic neuropathy. Science 242, 1427-1430"	"DISEASE: Leber hereditary optic neuropathy (LHON) [MIM:535000]: A maternally inherited disease resulting in acute or subacute loss of central vision, due to optic nerve dysfunction. Cardiac conduction defects and neurological defects have also been described in some patients. LHON results from primary mitochondrial DNA mutations affecting the respiratory chain complexes. {ECO:0000269|PubMed:1959619, ECO:0000269|PubMed:1959931, ECO:0000269|PubMed:3201231, ECO:0000269|PubMed:9452107}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Leber hereditary optic neuropathy with dystonia (LDYT) [MIM:500001]: Part of a spectrum of Leber hereditary optic neuropathy. It is characterized by the association of optic atrophy and central vision loss with dystonia. {ECO:0000269|PubMed:8644732}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes syndrome (MELAS) [MIM:540000]: Genetically heterogeneous disorder, characterized by episodic vomiting, seizures, and recurrent cerebral insults resembling strokes and causing hemiparesis, hemianopsia, or cortical blindness. {ECO:0000269|PubMed:1323207}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0029125;C0036341;C0162671;C0917796;C1838854;C1839040;C2931092;C4304725	516003	mitomap	184.907721	293.7855201	Class 1	-2.195368476	7.55953E-05	93558.72602	175271.1	0	NaN	96.46535154
P03901	MT-ND4L	Metabolism;Ophthalmic system	OXPHOS complex subunits	1				1	"Brown, M. D., Starikovskaya, E., Derbeneva, O., Hosseini, S., Allen, J. C., Mikhailovskaya, I. E., Sukernik, R. I., and Wallace, D. C. (2002) The role of mtDNA background in disease expression: a new primary LHON mutation associated with Western Eurasian haplogroup J. Hum Genet 110, 130-138"	"DISEASE: Leber hereditary optic neuropathy (LHON) [MIM:535000]: A maternally inherited disease resulting in acute or subacute loss of central vision, due to optic nerve dysfunction. Cardiac conduction defects and neurological defects have also been described in some patients. LHON results from primary mitochondrial DNA mutations affecting the respiratory chain complexes. {ECO:0000269|PubMed:8680405}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0917796;C1527249	516004	mitomap	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
P03915	MT-ND5	Central nervous system;Metabolism;Ophthalmic system	OXPHOS complex subunits	1				1	"Santorelli, F. M., Tanji, K., Kulikova, R., Shanske, S., Vilarinho, L., Hays, A. P., and DiMauro, S. (1997) Identification of a novel mutation in the mtDNA ND5 gene associated with MELAS. Biochem Biophys Res Commun 238, 326-328"	"DISEASE: Leber hereditary optic neuropathy (LHON) [MIM:535000]: A maternally inherited disease resulting in acute or subacute loss of central vision, due to optic nerve dysfunction. Cardiac conduction defects and neurological defects have also been described in some patients. LHON results from primary mitochondrial DNA mutations affecting the respiratory chain complexes. {ECO:0000269|PubMed:16240359, ECO:0000269|PubMed:1732158, ECO:0000269|PubMed:1900003, ECO:0000269|PubMed:8213825}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. {ECO:0000269|PubMed:11938446, ECO:0000269|PubMed:12796552, ECO:0000269|PubMed:17400793}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Mitochondrial complex I deficiency (MT-C1D) [MIM:252010]: A disorder of the mitochondrial respiratory chain that causes a wide range of clinical manifestations from lethal neonatal disease to adult-onset neurodegenerative disorders. Phenotypes include macrocephaly with progressive leukodystrophy, non-specific encephalopathy, cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. {ECO:0000269|PubMed:12509858, ECO:0000269|PubMed:15767514, ECO:0000269|PubMed:17400793, ECO:0000269|PubMed:20818383}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes syndrome (MELAS) [MIM:540000]: Genetically heterogeneous disorder, characterized by episodic vomiting, seizures, and recurrent cerebral insults resembling strokes and causing hemiparesis, hemianopsia, or cortical blindness. {ECO:0000269|PubMed:12509858, ECO:0000269|PubMed:15767514, ECO:0000269|PubMed:17400793, ECO:0000269|PubMed:9299505}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0023264;C0162671;C0162672;C0917796;C1838951;C1838979;C1850597;C1850598;C1850599;C1850600;C2931092;C2931891;C2936907	516005	mitomap	121.3568203	233.6885739	Class 1	-2.043956496	0.000248801	74069.74306	65337.16667	Integral	92.69980816	96.62965862
P03923	MT-ND6	Central nervous system;Metabolism;Ophthalmic system;Ears	OXPHOS complex subunits	1				1	"Jun, A. S., Brown, M. D., and Wallace, D. C. (1994) A mitochondrial DNA mutation at nucleotide pair 14459 of the NADH dehydrogenase subunit 6 gene associated with maternally inherited Leber hereditary optic neuropathy and dystonia. Proc Natl Acad Sci U S A 91, 6206-6210"	"DISEASE: Leber hereditary optic neuropathy (LHON) [MIM:535000]: A maternally inherited disease resulting in acute or subacute loss of central vision, due to optic nerve dysfunction. Cardiac conduction defects and neurological defects have also been described in some patients. LHON results from primary mitochondrial DNA mutations affecting the respiratory chain complexes. {ECO:0000269|PubMed:10447650, ECO:0000269|PubMed:11133798, ECO:0000269|PubMed:1417830, ECO:0000269|PubMed:8854108, ECO:0000269|PubMed:9452107}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Leber hereditary optic neuropathy with dystonia (LDYT) [MIM:500001]: Part of a spectrum of Leber hereditary optic neuropathy. It is characterized by the association of optic atrophy and central vision loss with dystonia. {ECO:0000269|PubMed:8016139, ECO:0000269|PubMed:8644732}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Mitochondrial complex I deficiency (MT-C1D) [MIM:252010]: A disorder of the mitochondrial respiratory chain that causes a wide range of clinical manifestations from lethal neonatal disease to adult-onset neurodegenerative disorders. Phenotypes include macrocephaly with progressive leukodystrophy, non-specific encephalopathy, cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. {ECO:0000269|PubMed:14595656, ECO:0000269|PubMed:20818383}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes syndrome (MELAS) [MIM:540000]: Genetically heterogeneous disorder, characterized by episodic vomiting, seizures, and recurrent cerebral insults resembling strokes and causing hemiparesis, hemianopsia, or cortical blindness. {ECO:0000269|PubMed:11781695}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0029125;C0162671;C0917796;C1838979;C1839040;C2931092;C2936907;C4304725	516006	mitomap	NaN	142.7123366	Class 1	-2.557167656	0.000755954	8645.03551	57818.33333	Integral	90.82430547	97.5463416
Q9Y2Z2	MTO1	Central nervous system;Metabolism;Failure to thrive;Cardiovascular system;Liver	tRNA related processes	1				1	"Ghezzi, D., Baruffini, E., Haack, T. B., Invernizzi, F., Melchionda, L., Dallabona, C., Strom, T. M., Parini, R., Burlina, A. B., Meitinger, T., Prokisch, H., Ferrero, I., and Zeviani, M. (2012) Mutations of the mitochondrial-tRNA modifier MTO1 cause hypertrophic cardiomyopathy and lactic acidosis. Am. J. Hum. Genet. 90, 1079-1087"	"DISEASE: Combined oxidative phosphorylation deficiency 10 (COXPD10) [MIM:614702]: An autosomal recessive disorder resulting in variable defects of mitochondrial oxidative respiration. Affected individuals present in infancy with hypertrophic cardiomyopathy and lactic acidosis. The severity is variable, but can be fatal in the most severe cases. {ECO:0000269|PubMed:22608499}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0751651;C3553529;C3714756	614667	614702	11.29126822	21.68899624	Class 1	-2.829898133	0.00036261	44019.94707	58989.46667	Ambiguous	32.32643608	78.38919976
Q9NVV4	MTPAP	Central nervous system;Ophthalmic system	RNA-related processes	1				1	"Crosby, A. H., Patel, H., Chioza, B. A., Proukakis, C., Gurtz, K., Patton, M. A., Sharifi, R., Harlalka, G., Simpson, M. A., Dick, K., Reed, J. A., Al-Memar, A., Chrzanowska-Lightowlers, Z. M., Cross, H. E., and Lightowlers, R. N. (2010) Defective mitochondrial mRNA maturation is associated with spastic ataxia. Am. J. Hum. Genet. 87, 655-660"	"DISEASE: Spastic ataxia 4, autosomal recessive (SPAX4) [MIM:613672]: A slowly progressive neurodegenerative disease characterized by cerebellar ataxia, spastic paraparesis, dysarthria, and optic atrophy. {ECO:0000269|PubMed:20970105}. Note=The disease is caused by mutations affecting the gene represented in this entry. MTPAP mutations result in a defect of mitochondrial mRNA maturation. Affected individuals exhibit a drastic decrease in poly(A) tail length of mitochondrial mRNA transcripts, including COX1 and RNA14 (PubMed:20970105). {ECO:0000269|PubMed:20970105}."	C0004138;C0025202;C0037773;C0751651;C3150925;C3714756	613669	613672	90.12134288	87.36216672	Class 1	-1.609989278	0.000248143	140276.6737	99176.86667	Peripheral	17.10829424	93.81805766
O75431	MTX2	Central nervous system;Failure to thrive;Cardiovascular system;Pulmonary system ;Muscular system;Liver;Skeletal system;Kidney and urinary tract;Reproductive system;Integumentary system	Protein import & biogenesis	1				1	"Elouej S, Harhouri K, Le Mao M, Baujat G, Nampoothiri S, Kayserili H, Menabawy NA, Selim L, Paneque AL, Kubisch C, Lessel D, Rubinsztajn R, Charar C, Bartoli C, Airault C, Deleuze JF, Rötig A, Bauer P, Pereira C, Loh A, Escande-Beillard N, Muchir A, Martino L, Gruenbaum Y, Lee SH, Manivet P, Lenaers G, Reversade B, Lévy N, De Sandre-Giovannoli A. Loss of MTX2 causes mandibuloacral dysplasia and links mitochondrial dysfunction to altered nuclear morphology. Nat Commun. 2020 Sep 11;11(1):4589."			608555	619127	284.70973	NaN	Class 1	-1.641841265	7.93457E-05	605818.626	340408.3333	Peripheral	14.82286227	95.70363902
P22033	MUT	Central nervous system;Metabolism;Failure to thrive;Gastrointestinal system	Lipid metabolism	1				1		"DISEASE: Methylmalonic aciduria type mut (MMAM) [MIM:251000]: An often fatal disorder of organic acid metabolism. Common clinical features include lethargy, vomiting, failure to thrive, hypotonia, neurological deficit and early death. Two forms of the disease are distinguished by the presence (mut-) or absence (mut0) of residual enzyme activity. Mut0 patients have more severe neurological manifestations of the disease than do MUT- patients. MMAM is unresponsive to vitamin B12 therapy. {ECO:0000269|PubMed:10923046, ECO:0000269|PubMed:11350191, ECO:0000269|PubMed:1346616, ECO:0000269|PubMed:1351030, ECO:0000269|PubMed:15643616, ECO:0000269|PubMed:15781192, ECO:0000269|PubMed:16281286, ECO:0000269|PubMed:1670635, ECO:0000269|PubMed:17113806, ECO:0000269|PubMed:17957493, ECO:0000269|PubMed:19588269, ECO:0000269|PubMed:1977311, ECO:0000269|PubMed:1980486, ECO:0000269|PubMed:22727635, ECO:0000269|PubMed:25125334, ECO:0000269|PubMed:26615597, ECO:0000269|PubMed:27167370, ECO:0000269|PubMed:28101778, ECO:0000269|PubMed:7909321, ECO:0000269|PubMed:7912889, ECO:0000269|PubMed:9285782, ECO:0000269|PubMed:9452100, ECO:0000269|PubMed:9554742}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0025521;C0028754;C0268583;C1855114;C1855115;C1855116;C1855119	609058	251000	26.07237735	75.96136894	Class 3	-0.791884067	0.001491247	209819.5702	160457.6667	Soluble	10.66577797	42.57885987
Q9UIF7	MUTYH	Tumors	DNA-related processes	1				1		"DISEASE: Familial adenomatous polyposis 2 (FAP2) [MIM:608456]: A condition characterized by the development of multiple colorectal adenomatous polyps, benign neoplasms derived from glandular epithelium. Some affected individuals may develop colorectal carcinoma. {ECO:0000269|PubMed:11818965, ECO:0000269|PubMed:12606733, ECO:0000269|PubMed:12853198, ECO:0000269|PubMed:15366000, ECO:0000269|PubMed:16134147, ECO:0000269|PubMed:16287072, ECO:0000269|PubMed:16557584, ECO:0000269|PubMed:16941501, ECO:0000269|PubMed:18091433, ECO:0000269|PubMed:18515411, ECO:0000269|PubMed:19953527, ECO:0000269|PubMed:20418187, ECO:0000269|PubMed:20848659, ECO:0000269|PubMed:25820570, ECO:0000269|PubMed:26694661}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Gastric cancer (GASC) [MIM:613659]: A malignant disease which starts in the stomach, can spread to the esophagus or the small intestine, and can extend through the stomach wall to nearby lymph nodes and organs. It also can metastasize to other parts of the body. The term gastric cancer or gastric carcinoma refers to adenocarcinoma of the stomach that accounts for most of all gastric malignant tumors. Two main histologic types are recognized, diffuse type and intestinal type carcinomas. Diffuse tumors are poorly differentiated infiltrating lesions, resulting in thickening of the stomach. In contrast, intestinal tumors are usually exophytic, often ulcerating, and associated with intestinal metaplasia of the stomach, most often observed in sporadic disease. {ECO:0000269|PubMed:15273732, ECO:0000269|PubMed:25820570}. Note=The gene represented in this entry may be involved in disease pathogenesis. Somatic mutations contribute to the development of a sub-set of sporadic gastric cancers in carriers of Helicobacter pylori (PubMed:15273732). {ECO:0000269|PubMed:15273732}."	C0006826;C0007102;C0009375;C0017185;C0024623;C0032580;C0038356;C0153943;C0154060;C0206711;C0346153;C0496905;C0699790;C0699791;C1140680;C1319315;C1527249;C1708349;C1837991;C2713442;C2713443;C3150911	604933	608456-613659	NaN	NaN	NaN	NaN	NaN	NaN	238.383	0	NaN	NaN
Q5U5X0	MZM1L	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive;Muscular system;Hematologic system;Others	OXPHOS assembly & stability	1				1	"Invernizzi, F., Tigano, M., Dallabona, C., Donnini, C., Ferrero, I., Cremonte, M., Ghezzi, D., Lamperti, C., and Zeviani, M. (2013) A homozygous mutation in LYRM7/MZM1L associated with early onset encephalopathy, lactic acidosis, and severe reduction of mitochondrial complex III activity. Hum Mutat 34, 1619-1622"	"DISEASE: Mitochondrial complex III deficiency, nuclear 8 (MC3DN8) [MIM:615838]: A form of mitochondrial complex III deficiency, a disorder of the mitochondrial respiratory chain resulting in a highly variable phenotype depending on which tissues are affected. Clinical features include mitochondrial encephalopathy, psychomotor retardation, ataxia, severe failure to thrive, liver dysfunction, renal tubulopathy, muscle weakness and exercise intolerance. {ECO:0000269|PubMed:24014394}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0342778;C0751651;C1852372;C4014440	615831	615838	110.1266951	149.6530801	Class 1	-1.683735369	0.000246306	742791.9225	676680	Peripheral	4.094167051	72.2410062
B7Z8V7;Q4G0N4	NADK2	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Gastrointestinal system;Kidney and urinary tract"	Cofactor metabolism	1				1	"Houten, S. M., Denis, S., Te Brinke, H., Jongejan, A., van Kampen, A. H., Bradley, E. J., Baas, F., Hennekam, R. C., Millington, D. S., Young, S. P., Frazier, D. M., Gucsavas-Calikoglu, M., and Wanders, R. J. (2014) Mitochondrial NADP(H) deficiency due to a mutation in NADK2 causes dienoyl-CoA reductase deficiency with hyperlysinemia. Hum Mol Genet 23, 5009-5016"	"DISEASE: 2,4-dienoyl-CoA reductase deficiency (DECRD) [MIM:616034]: A rare, autosomal recessive, inborn error of polyunsaturated fatty acids and lysine metabolism, resulting in mitochondrial dysfunction. Affected individuals have a severe encephalopathy with neurologic and metabolic abnormalities beginning in early infancy. Laboratory studies show increased C10:2 carnitine levels and hyperlysinemia. {ECO:0000269|PubMed:24847004}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0751651;C1857252;C3714756	615787	616034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8N159	NAGS	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive;Gastrointestinal system	Other known processes	1				1		"DISEASE: N-acetylglutamate synthase deficiency (NAGSD) [MIM:237310]: Rare autosomal recessively inherited metabolic disorder leading to severe neonatal or late-onset hyperammonemia without increased excretion of orotic acid. Clinical symptoms are somnolence, tachypnea, feeding difficulties, a severe neurologic presentation characterized by uncontrollable movements, developmental delay, visual impairment, failure to thrive and hyperammonemia precipitated by the introduction of high-protein diet or febrile illness. {ECO:0000269|PubMed:12754705, ECO:0000269|PubMed:15878741, ECO:0000269|PubMed:27037498}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0220994;C0268543;C3714756	608300	237310	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
Q96I59	NARS2	"Central nervous system;Metabolism;Ophthalmic system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Muscular system;Gastrointestinal system;Skeletal system"	tRNA related processes	1				1	"Simon, M., Richard, E. M., Wang, X., Shahzad, M., Huang, V. H., Qaiser, T. A., Potluri, P., Mahl, S. E., Davila, A., Nazli, S., Hancock, S., Yu, M., Gargus, J., Chang, R., Al-Sheqaih, N., Newman, W. G., Abdenur, J., Starr, A., Hegde, R., Dorn, T., Busch, A., Park, E., Wu, J., Schwenzer, H., Flierl, A., Florentz, C., Sissler, M., Khan, S. N., Li, R., Guan, M. X., Friedman, T. B., Wu, D. K., Procaccio, V., Riazuddin, S., Wallace, D. C., Ahmed, Z. M., Huang, T., and Riazuddin, S. (2015) Mutations of human NARS2, encoding the mitochondrial asparaginyl-tRNA synthetase, cause nonsyndromic deafness and Leigh syndrome. PLoS Genet 11, e1005097;Sofou, K., Kollberg, G., Holmstrom, M., Davila, M., Darin, N., Gustafsson, C. M., Holme, E., Oldfors, A., Tulinius, M., and Asin-Cayuela, J. (2015) Whole exome sequencing reveals mutations in NARS2 and PARS2, encoding the mitochondrial asparaginyl-tRNA synthetase and prolyl-tRNA synthetase, in patients with Alpers syndrome. Mol Genet Genomic Med 3, 59-68;Vanlander, A. V., Menten, B., Smet, J., De Meirleir, L., Sante, T., De Paepe, B., Seneca, S., Pearce, S. F., Powell, C. A., Vergult, S., Michotte, A., De Latter, E., Vantomme, L., Minczuk, M., and Van Coster, R. (2015) Two siblings with homozygous pathogenic splice-site variant in mitochondrial asparaginyl-tRNA synthetase (NARS2). Hum Mutat 36, 222-231"	"DISEASE: Combined oxidative phosphorylation deficiency 24 (COXPD24) [MIM:616239]: An autosomal recessive mitochondrial disorder with wide phenotypic variability. Some patients have a milder form affecting only skeletal muscle, whereas others may have a more severe disorder, reminiscent of Alpers syndrome. Alpers syndrome is a progressive neurodegenerative disorder that presents in infancy or early childhood and is characterized by diffuse degeneration of cerebral gray matter. {ECO:0000269|PubMed:25385316, ECO:0000269|PubMed:25629079}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. {ECO:0000269|PubMed:25807530}. Note=The disease may be caused by mutations affecting the gene represented in this entry."	C0023264;C0543888;C0751651;C1838951;C1850597;C1850598;C1850599;C1850600;C2931891;C4015643	612803	616239	205.1460927	151.095628	Class 1	-1.366632984	0.000613343	92634.83592	80552.06667	Soluble	10.04692056	29.61977554
Q8IW45;Q8IW45	NAXD	Central nervous system;Cardiovascular system;Others;Integumentary system	Cofactor metabolism	1				1	"Van Bergen NJ, Guo Y, Rankin J, Paczia N, Becker-Kettern J, Kremer LS, Pyle A, Conrotte JF, Ellaway C, Procopis P, Prelog K, Homfray T, Baptista J, Baple E, Wakeling M, Massey S, Kay DP, Shukla A, Girisha KM, Lewis LES, Santra S, Power R, Daubeney P, Montoya J, Ruiz-Pesini E, Kovacs-Nagy R, Pritsch M, Ahting U, Thorburn DR, Prokisch H, Taylor RW, Christodoulou J, Linster CL, Ellard S, Hakonarson H. NAD(P)HX dehydratase (NAXD) deficiency: a novel neurodegenerative disorder exacerbated by febrile illnesses. Brain. 2019 Jan 1;142(1):50-58."			615910	618321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8NCW5	NAXE	Central nervous system;Metabolism;Pulmonary system ;Others;Reproductive system;Integumentary system	Cofactor metabolism	1				1	"Kremer, L. S., Danhauser, K., Herebian, D., Petkovic Ramadza, D., Piekutowska-Abramczuk, D., Seibt, A., Muller-Felber, W., Haack, T. B., Ploski, R., Lohmeier, K., Schneider, D., Klee, D., Rokicki, D., Mayatepek, E., Strom, T. M., Meitinger, T., Klopstock, T., Pronicka, E., Mayr, J. A., Baric, I., Distelmaier, F., and Prokisch, H. (2016) NAXE Mutations Disrupt the Cellular NAD(P)HX Repair System and Cause a Lethal Neurometabolic Disorder of Early Childhood. Am. J. Hum. Genet. 99, 894-902"	"DISEASE: Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy (PEBEL) [MIM:617186]: An autosomal recessive severe neurometabolic disorder characterized by severe leukoencephalopathy usually associated with a trivial febrile illness. Affected infants tend to show normal early development followed by acute psychomotor regression with ataxia, hypotonia, respiratory insufficiency, and seizures. Disease course is rapidly progressive, leading to coma, global brain atrophy, and death in the first years of life. Brain imaging shows multiple abnormalities, including brain edema and signal abnormalities in the cortical and subcortical regions. {ECO:0000269|PubMed:27122014, ECO:0000269|PubMed:27616477}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0023520;C0751651;C4310675	608862	617186	204.4030546	NaN	Class 1	-1.737967166	0.000246827	163884.4311	1073999.667	Soluble	8.434067828	7.149341956
O15239	NDUFA1	Central nervous system;Metabolism	OXPHOS complex subunits	1				1	"Fernandez-Moreira, D., Ugalde, C., Smeets, R., Rodenburg, R. J., Lopez-Laso, E., Ruiz-Falco, M. L., Briones, P., Martin, M. A., Smeitink, J. A., and Arenas, J. (2007) X-linked NDUFA1 gene mutations associated with mitochondrial encephalomyopathy. Ann Neurol 61, 73-83"	"DISEASE: Mitochondrial complex I deficiency (MT-C1D) [MIM:252010]: A disorder of the mitochondrial respiratory chain that causes a wide range of clinical manifestations from lethal neonatal disease to adult-onset neurodegenerative disorders. Phenotypes include macrocephaly with progressive leukodystrophy, non-specific encephalopathy, cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. {ECO:0000269|PubMed:17262856}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C1527249;C1838979;C2936907	300078	301020	Infinite	NaN	Class 1	-1.862208124	0.005509816	85479.66417	162108.5	Integral	85.92124272	96.49960656
O95299;C9J6X0	NDUFA10	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Cardiovascular system;Pulmonary system "	OXPHOS complex subunits	1				1	"Hoefs, S. J., van Spronsen, F. J., Lenssen, E. W., Nijtmans, L. G., Rodenburg, R. J., Smeitink, J. A., and van den Heuvel, L. P. (2011) NDUFA10 mutations cause complex I deficiency in a patient with Leigh disease. Eur J Hum Genet 19, 270-274"	"DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. {ECO:0000269|PubMed:21150889}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0023264;C0543888;C0751267;C0751268;C0751651;C1838951;C1850597;C1850598;C1850599;C1850600;C2931891;C3714756	603835	618243	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q86Y39	NDUFA11	Central nervous system;Metabolism;Cardiovascular system	OXPHOS complex subunits	1				1	"Berger, I., Hershkovitz, E., Shaag, A., Edvardson, S., Saada, A., and Elpeleg, O. (2008) Mitochondrial complex I deficiency caused by a deleterious NDUFA11 mutation. Ann Neurol 63, 405-408"	"DISEASE: Mitochondrial complex I deficiency (MT-C1D) [MIM:252010]: A disorder of the mitochondrial respiratory chain that causes a wide range of clinical manifestations from lethal neonatal disease to adult-onset neurodegenerative disorders. Phenotypes include macrocephaly with progressive leukodystrophy, non-specific encephalopathy, cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. {ECO:0000269|PubMed:18306244}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0543888;C0751651;C1838979;C2936907;C3714756	612638	618236	77.92006505	NaN	Class 1	-1.438633046	0.001179134	576775.3338	626849.3333	Integral	98.9705479	94.16539689
Q9UI09	NDUFA12	Central nervous system;Skeletal system;Integumentary system	OXPHOS complex subunits	1				1	"Ostergaard, E., Rodenburg, R. J., van den Brand, M., Thomsen, L. L., Duno, M., Batbayli, M., Wibrand, F., and Nijtmans, L. (2011) Respiratory chain complex I deficiency due to NDUFA12 mutations as a new cause of Leigh syndrome. J Med Genet 48, 737-740"	"DISEASE: Leigh syndrome (LS) [MIM:256000]: An early-onset progressive neurodegenerative disorder characterized by the presence of focal, bilateral lesions in one or more areas of the central nervous system including the brainstem, thalamus, basal ganglia, cerebellum and spinal cord. Clinical features depend on which areas of the central nervous system are involved and include subacute onset of psychomotor retardation, hypotonia, ataxia, weakness, vision loss, eye movement abnormalities, seizures, and dysphagia. {ECO:0000269|PubMed:21617257}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0023264;C0751267;C0751268;C0751651;C3714756	614530	618244	22.78767912	NaN	Class 1	-1.870702426	7.11632E-05	1065655.614	539275.6667	Integral	86.16915393	97.42010313
Q9P0J0	NDUFA13	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive;Ears;Tumors	OXPHOS complex subunits	1				1	"Angebault, C., Charif, M., Guegen, N., Piro-Megy, C., Mousson de Camaret, B., Procaccio, V., Guichet, P. O., Hebrard, M., Manes, G., Leboucq, N., Rivier, F., Hamel, C. P., Lenaers, G., and Roubertie, A. (2015) Mutation in NDUFA13/GRIM19 leads to early onset hypotonia, dyskinesia and sensorial deficiencies, and mitochondrial complex I instability. Hum Mol Genet 24, 3948-3955"	"DISEASE: Hurthle cell thyroid carcinoma (HCTC) [MIM:607464]: A rare type of thyroid cancer accounting for only about 3-10% of all differentiated thyroid cancers. These neoplasms are considered a variant of follicular carcinoma of the thyroid and are referred to as follicular carcinoma, oxyphilic type. {ECO:0000269|PubMed:15841082}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.;DISEASE: Note=Defects in NDUFA13 are a cause of a mitochondrial complex I deficiency characterized by early onset hypotonia, dyskinesia and sensorial deficiencies, as well as a severe optic neuropathy. {ECO:0000269|PubMed:25901006}."	C0238463;C0749424;C0751651	609435	618249-607464	65.71282425	63.03756454	Class 1	-2.49124886	0.000148567	1013008.385	1160714.333	Integral	83.70070886	95.67796016
